Code,Item Type
PBBOOK,Adult paperback book
AUDIOBK,Audiobook
BOOK,Book
BOOKCLUB,Book club kit
BOOKSTOGO,Books to Go
BRBOOK,Braille book
CD,Compact Disc
DVD,DVD recording
ERESOURCE,Electronic Resource
EMETER,Energy meter
GOVDOC,Government document
JAUDIOBK,Junior audiobook
JBOOK,Junior hardcover book
JCD,Junior Compact Disc
JPBBOOK,Junior paperback book
PEDOM,Pedometer
PEINCIRC,PEI non-circulating
PLAYAWAY,Playaway
VIEW,Playaway View
VIEWJ,Playaway View - Junior
VID-PPR,PPR video
REF-BOOK,Reference book
VID-REST,Restricted use video
SBOOK,School book
SBOOK-REF,School book - Reference
SSACK,Storysack
TBOOK,Talking book
GAME,Game
